timestamp_deteccion,connector_id,operator_name,estado_anterior,estado_nuevo,api_last_updated,power_type,max_electric_power,standard,location_name,operador_agrupado,tramo_potencia,commune,region
2026-09-01T18:56:23+00:00,8847,ENEL X,PRIMERA_LECTURA,FUERA DE LINEA,2026-09-01T02:06:31.731641+00:00,DC,60,CHAdeMO,Enel X - EDS Aramco Vespucio / Camberra,Enel,(50-150],Conchalí,Metropolitana
2026-09-01T18:56:23+00:00,9375,ENEL X,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T18:51:45.181230+00:00,DC,60,CCS 2,Enel X Way - Espacio Urbano La Laguna,Enel,(50-150],Colina,Metropolitana
2026-09-01T18:56:23+00:00,1754,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2025-07-10T15:10:43.275787+00:00,AC,7.4,Tipo 2,IRVE - MALL ARAUCO ESTACION,Copec Voltex,7,Estación Central,Metropolitana
2026-09-01T18:56:23+00:00,547,COPEC VOLTEX,PRIMERA_LECTURA,OCUPADO,2026-09-01T13:17:48.399453+00:00,AC,7.4,Tipo 2,VOLTEX PUC,Copec Voltex,7,Macul,Metropolitana
2026-09-01T18:56:23+00:00,894,ENEL X,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T04:08:41.660870+00:00,AC,7.4,Tipo 2,Enel X Way - Mall Parque Arauco,Enel,7,Las Condes,Metropolitana
2026-09-01T18:56:23+00:00,1086,COPEC VOLTEX,PRIMERA_LECTURA,FUERA DE LINEA,2026-08-08T12:06:08.661847+00:00,DC,50,CCS 2,SAVE VOLTEX 20607 LONCOCHE,Copec Voltex,(22-50],Loncoche,La Araucanía
2026-09-01T18:56:23+00:00,1711,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2025-07-10T15:10:41.978428+00:00,AC,7.4,Tipo 2,IRVE - MALL ARAUCO ESTACION,Copec Voltex,7,Estación Central,Metropolitana
2026-09-01T18:56:23+00:00,8955,COPEC VOLTEX,PRIMERA_LECTURA,FUERA DE LINEA,2026-08-31T19:39:24.017321+00:00,AC,7.4,Tipo 2,COPEC VOLTEX_HUB MALL CENCO EL LLANO,Copec Voltex,7,San Miguel,Metropolitana
2026-09-01T18:56:23+00:00,1837,COPEC VOLTEX,PRIMERA_LECTURA,DISPONIBLE,2026-06-14T02:18:50.399436+00:00,AC,22,Tipo 2,PLAZA VALDIVIESO,Copec Voltex,(7-22],San Joaquín,Metropolitana
2026-09-01T18:56:23+00:00,4776,ENEL X,PRIMERA_LECTURA,OCUPADO,2026-09-01T18:51:45.879966+00:00,DC,150,GB/T DC,Enel X Way - Bodega San Francisco,Enel,(50-150],Pudahuel,Metropolitana
2026-09-01T18:56:23+00:00,833,ENEL X,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T04:09:12.507609+00:00,AC,7.4,Tipo 2,Enel X Way Privados - Parque Arauco,Enel,7,Las Condes,Metropolitana
2026-09-01T18:56:23+00:00,264,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2026-04-20T19:57:07.780644+00:00,DC,50,CHAdeMO,Copec Temuco,Copec Voltex,(22-50],Temuco,La Araucanía
