vista,fecha,empresa,tramo_potencia,power_type,transacciones
opc,2026-09-01,Copec Voltex,150,,146
opc,2026-09-01,Copec Voltex,150,DC,146
opc,2026-09-01,Enel,(50-150],,97
opc,2026-09-01,Enel,(50-150],DC,96
opc,2026-09-01,Enerlink,(50-150],,49
opc,2026-09-01,Enerlink,(50-150],DC,49
opc,2026-09-01,Copec Voltex,(22-50],,37
opc,2026-09-01,Copec Voltex,(22-50],DC,37
opc,2026-09-01,Enel,(22-50],,30
opc,2026-09-01,Enel,(22-50],DC,30
opc,2026-09-01,Enerlink,(22-50],,26
opc,2026-09-01,Enerlink,(22-50],DC,25
opc,2026-09-01,Copec Voltex,(50-150],,12
opc,2026-09-01,Copec Voltex,(50-150],DC,12
opc,2026-09-01,Copec Voltex,(7-22],,10
opc,2026-09-01,Copec Voltex,(7-22],AC,10
opc,2026-09-01,Enel,(7-22],,8
opc,2026-09-01,Enel,7,,6
opc,2026-09-01,Enel,7,AC,6
opc,2026-09-01,Enel,(7-22],AC,6
opc,2026-09-01,Enerlink,7,,5
opc,2026-09-01,Enerlink,7,AC,5
opc,2026-09-01,Copec Voltex,7,,4
opc,2026-09-01,Copec Voltex,7,AC,4
opc,2026-09-01,Enerlink,150,,3
opc,2026-09-01,Enerlink,150,DC,3
opc,2026-09-01,Enerlink,(7-22],,3
opc,2026-09-01,Enerlink,(7-22],AC,3
opc,2026-09-01,Enel,(7-22],DC,2
opc,2026-09-01,Enerlink,(22-50],AC,1
opc,2026-09-01,Enel,(50-150],AC,1
opc,2026-09-01,Enel,150,,1
opc,2026-09-01,Enel,150,DC,1
opc,2026-09-02,Copec Voltex,150,,588
opc,2026-09-02,Copec Voltex,150,DC,588
opc,2026-09-02,Enel,(50-150],,543
opc,2026-09-02,Enel,(50-150],DC,535
opc,2026-09-02,Enerlink,(50-150],,270
opc,2026-09-02,Enerlink,(50-150],DC,270
opc,2026-09-02,Enel,(22-50],,177
opc,2026-09-02,Enel,(22-50],DC,177
opc,2026-09-02,Copec Voltex,(22-50],,133
opc,2026-09-02,Copec Voltex,(22-50],DC,133
opc,2026-09-02,Enerlink,(22-50],,121
opc,2026-09-02,Enerlink,(22-50],DC,119
opc,2026-09-02,Copec Voltex,(50-150],,69
opc,2026-09-02,Copec Voltex,(50-150],DC,69
opc,2026-09-02,Enel,(7-22],,53
opc,2026-09-02,Enel,(7-22],AC,46
opc,2026-09-02,Copec Voltex,7,,37
opc,2026-09-02,Copec Voltex,7,AC,37
opc,2026-09-02,Copec Voltex,(7-22],,37
opc,2026-09-02,Copec Voltex,(7-22],AC,37
opc,2026-09-02,Enel,7,,32
opc,2026-09-02,Enel,7,AC,32
opc,2026-09-02,Enerlink,(7-22],,31
opc,2026-09-02,Enerlink,(7-22],AC,31
opc,2026-09-02,Enerlink,150,,16
opc,2026-09-02,Enerlink,150,DC,16
opc,2026-09-02,Enerlink,7,,12
opc,2026-09-02,Enerlink,7,AC,12
opc,2026-09-02,Enel,(50-150],AC,8
opc,2026-09-02,Enel,(7-22],DC,7
opc,2026-09-02,Enel,150,,4
opc,2026-09-02,Enel,150,DC,4
opc,2026-09-02,Enerlink,(22-50],AC,2
