vista,empresa,power_type,sitios,conectores,kw
opc,Copec Voltex,,261,961,54348
opc,Enel,,220,854,27455
opc,Enerlink,,64,184,11735
opc,Chass,,4,42,1048
opc,Saesa,,11,22,484
opc,CHILQUINTA,,7,14,352
opc,ILUSTRE MUNICIPALIDAD DE LAS CONDES,,6,12,308
opc,COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,,5,10,160
opc,Cargar Mas SpA,,1,10,3500
opc,Inversiones Vida Parque SA,,1,9,63
opc,nmaes99 prueba prod patre99 matre99,,1,9,667
opc,METLIFE CHILE SEGUROS DE VIDA ,,1,6,42
opc,Soc. Con. Nuevo Pudahuel S.A.,,1,6,132
opc,CHILECTRA S.A.,,3,5,110
opc,EMPRESA NACIONAL DE ENERGIA EN,,2,5,253
opc,Inmobiliaria viña del mar SA,,2,4,28
opc,Bodegas San Francisco Ltda.,,2,4,88
opc,TE MOBILITY,,3,4,58
opc,Desarrollos e Inversiones Inte,,2,4,30
opc,Corporacion Desarrollo RM,,2,4,87
opc,INMOBILIARIA POWER CENTER LTDA,,1,4,88
opc,Com Edif Nue Las Condes Siete,,1,4,30
opc,Comer. Ditec Automoviles SA,,1,4,30
opc,TODO ARAUCO,,1,4,400
opc,Tesla Chile SpA,,1,4,1000
opc,Inmobiliaria Playa La Boca Spa,,1,4,88
opc,Estacionamientos Manuel Montt ,,1,4,30
opc,RUTA DEL MAIPO SOC. CONCESIONA,,1,3,143
opc,Pompeyo Carrasco SPA,,2,3,22
opc,Sin Operador Informado,,1,3,150
opc,Parque Arauco SA,,1,2,14
opc,Automovil Club de Chile,,1,2,14
opc,Inversiones Quildos Ltda,,1,2,44
opc,Universidad de Los andes,,1,2,44
opc,Pinochet y Pinochet SPA,,1,2,44
opc,Universidad Adolfo Ibañez ,,1,2,44
opc,Turismo Lago Grey SA,,1,2,15
opc,inmobiliaria y construtora Alo,,1,2,14
opc,Inmob. Administ. y Com. Mall S,,1,2,13
opc,Patio Foster SPA,,1,2,14
opc,inmobiliaria los militares apo,,1,2,14
opc,Hotel termas de Puyehue,,1,2,15
opc,Parque Solar Fotovoltaico Luz ,,1,2,44
opc,MALL PLAZA EL TREBOL S.A,,1,2,15
opc,CTEC,,1,2,44
opc,INMOBILIARIA IRARRAZAVAL DOS S,,1,2,44
opc,INMOBILIARIA INDUMOTORA SPA,,2,2,15
opc,Est. Sub. Valparaíso SA,,1,2,44
opc,COM. ED. WORD TRADE CENCER,,1,2,44
opc,Empresa Eléctrica de Casablanca S.A,,1,2,44
opc,CONSTRUCTORA SIENNA S.A,,1,2,14
opc,Edelaysen,,1,2,44
opc,inmobiliaria miguel claro s.a,,1,2,44
opc,EMPRESA ELÉCTRICA DE MAGALLANES S.A,,2,2,45
opc,Compañia de Leasing Tattersal ,,1,1,7
opc,INMOBILIARIA ITALIA S.A.,,1,1,22
opc,CENCOSUD SHOPPING S.A.,,1,1,7
opc,Casino de Juegos Punta Arenas ,,1,1,7
opc,Cominidad Complejo Boulebard K,,1,1,22
opc,Fundacion IP DuocUc ,,1,1,22
opc,WILLIAMSON BALFOUR MOTORS,,1,1,7
opc,CLINICA ALEMANA SANTIAGO S.A,,1,1,44
opc,COMERCIAL AUTOMOTRIZ SIGLO XXI,,1,1,7
opc,SINERGIA INMOBILIARIA S.A.,,1,1,22
opc,INVERSIONES OREGONIA S.A,,1,1,7
opc,Fundacion Duoc Uc,,1,1,7
opc,CURIFOR INMOBILIARIA S.A.,,1,1,7
opc,INMOBILIARIA COLOSO VICUÑA MAC,,1,1,7
opc,Club de Golf Valle Escondido,,1,1,7
opc,WALMART CHILE S.A,,1,1,7
opc,PLAZA CORDILLERA S.A.,,1,1,7
opc,Admin. de Turism Rosa Agustina,,1,1,22
opc,Rentas Inmobiliarias Limitada,,1,1,22
opc,Copec Voltex,AC,205,670,8550
opc,Enel,AC,145,556,6303
opc,Enerlink,AC,43,56,1300
opc,Chass,AC,2,34,448
opc,Saesa,AC,11,22,484
opc,CHILQUINTA,AC,7,14,352
opc,ILUSTRE MUNICIPALIDAD DE LAS CONDES,AC,6,12,308
opc,COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,AC,5,10,160
opc,Inversiones Vida Parque SA,AC,1,9,63
opc,METLIFE CHILE SEGUROS DE VIDA ,AC,1,6,42
opc,Soc. Con. Nuevo Pudahuel S.A.,AC,1,6,132
opc,CHILECTRA S.A.,AC,3,5,110
opc,Inmobiliaria viña del mar SA,AC,2,4,28
opc,Bodegas San Francisco Ltda.,AC,2,4,88
opc,TE MOBILITY,AC,3,4,58
opc,Desarrollos e Inversiones Inte,AC,2,4,30
opc,Corporacion Desarrollo RM,AC,2,4,87
opc,INMOBILIARIA POWER CENTER LTDA,AC,1,4,88
opc,Com Edif Nue Las Condes Siete,AC,1,4,30
opc,Comer. Ditec Automoviles SA,AC,1,4,30
opc,Inmobiliaria Playa La Boca Spa,AC,1,4,88
opc,Estacionamientos Manuel Montt ,AC,1,4,30
opc,Pompeyo Carrasco SPA,AC,2,3,22
opc,nmaes99 prueba prod patre99 matre99,AC,1,3,67
opc,Parque Arauco SA,AC,1,2,14
opc,Automovil Club de Chile,AC,1,2,14
opc,Inversiones Quildos Ltda,AC,1,2,44
opc,Universidad de Los andes,AC,1,2,44
opc,Pinochet y Pinochet SPA,AC,1,2,44
opc,Universidad Adolfo Ibañez ,AC,1,2,44
opc,Turismo Lago Grey SA,AC,1,2,15
opc,inmobiliaria y construtora Alo,AC,1,2,14
opc,Inmob. Administ. y Com. Mall S,AC,1,2,13
opc,Patio Foster SPA,AC,1,2,14
opc,inmobiliaria los militares apo,AC,1,2,14
opc,Hotel termas de Puyehue,AC,1,2,15
opc,Parque Solar Fotovoltaico Luz ,AC,1,2,44
opc,MALL PLAZA EL TREBOL S.A,AC,1,2,15
opc,CTEC,AC,1,2,44
opc,INMOBILIARIA IRARRAZAVAL DOS S,AC,1,2,44
opc,INMOBILIARIA INDUMOTORA SPA,AC,2,2,15
opc,Est. Sub. Valparaíso SA,AC,1,2,44
opc,COM. ED. WORD TRADE CENCER,AC,1,2,44
opc,Empresa Eléctrica de Casablanca S.A,AC,1,2,44
opc,CONSTRUCTORA SIENNA S.A,AC,1,2,14
opc,Edelaysen,AC,1,2,44
opc,inmobiliaria miguel claro s.a,AC,1,2,44
opc,Compañia de Leasing Tattersal ,AC,1,1,7
opc,INMOBILIARIA ITALIA S.A.,AC,1,1,22
opc,CENCOSUD SHOPPING S.A.,AC,1,1,7
opc,Casino de Juegos Punta Arenas ,AC,1,1,7
opc,Cominidad Complejo Boulebard K,AC,1,1,22
opc,Fundacion IP DuocUc ,AC,1,1,22
opc,RUTA DEL MAIPO SOC. CONCESIONA,AC,1,1,43
opc,WILLIAMSON BALFOUR MOTORS,AC,1,1,7
opc,CLINICA ALEMANA SANTIAGO S.A,AC,1,1,44
opc,EMPRESA NACIONAL DE ENERGIA EN,AC,1,1,43
opc,COMERCIAL AUTOMOTRIZ SIGLO XXI,AC,1,1,7
opc,SINERGIA INMOBILIARIA S.A.,AC,1,1,22
opc,INVERSIONES OREGONIA S.A,AC,1,1,7
opc,Fundacion Duoc Uc,AC,1,1,7
opc,CURIFOR INMOBILIARIA S.A.,AC,1,1,7
opc,INMOBILIARIA COLOSO VICUÑA MAC,AC,1,1,7
opc,Club de Golf Valle Escondido,AC,1,1,7
opc,WALMART CHILE S.A,AC,1,1,7
opc,PLAZA CORDILLERA S.A.,AC,1,1,7
opc,Sin Operador Informado,AC,1,1,50
opc,Admin. de Turism Rosa Agustina,AC,1,1,22
opc,Enel,DC,104,298,21152
opc,Copec Voltex,DC,117,291,45798
opc,Enerlink,DC,60,128,10435
opc,Cargar Mas SpA,DC,1,10,3500
opc,Chass,DC,3,8,600
opc,nmaes99 prueba prod patre99 matre99,DC,1,6,600
opc,EMPRESA NACIONAL DE ENERGIA EN,DC,2,4,210
opc,TODO ARAUCO,DC,1,4,400
opc,Tesla Chile SpA,DC,1,4,1000
opc,RUTA DEL MAIPO SOC. CONCESIONA,DC,1,2,100
opc,Sin Operador Informado,DC,1,2,100
opc,EMPRESA ELÉCTRICA DE MAGALLANES S.A,DC,2,2,45
opc,Rentas Inmobiliarias Limitada,DC,1,1,22
owner,Copec Voltex,,258,954,53741
owner,Enel,,213,833,26530
owner,EMPRESA NACIONAL DE ENERGIA EN,,58,159,10017
owner,Chass,,4,42,1048
owner,Saesa,,11,22,484
owner,Sin dueño informado,,4,17,993
owner,Chilquinta Energia S.A.,,7,14,352
owner,ILUSTRE MUNICIPALIDAD DE LAS CONDES,,6,12,308
owner,Enerlink,,2,11,183
owner,COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,,5,10,160
owner,Cargar Mas SpA,,1,10,3500
owner,Inversiones Vida Parque SA,,1,9,63
owner,CENCOSUD SHOPPING S.A.,,3,7,49
owner,METLIFE CHILE SEGUROS DE VIDA,,1,6,42
owner,Soc. Con. Nuevo Pudahuel S.A.,,1,6,132
owner,Gasco GLP SA,,2,6,480
owner,CHILECTRA S.A.,,3,5,110
owner,Nexe,,1,5,1222
owner,Inmobiliaria viña del mar SA,,2,4,28
owner,Bodegas San Francisco Ltda.,,2,4,88
owner,TE MOBILITY SPA,,3,4,58
owner,Desarrollos e Inversiones Inte,,2,4,30
owner,Corporacion Desarrollo RM,,2,4,87
owner,INMOBILIARIA POWER CENTER LTDA,,1,4,88
owner,Inmobiliaria FG Oriente SpA,,1,4,59
owner,Com Edif Nue Las Condes Siete,,1,4,30
owner,Comer. Ditec Automoviles SA,,1,4,30
owner,TODO ARAUCO,,1,4,400
owner,Tesla Chile SpA,,1,4,1000
owner,Inmobiliaria Playa La Boca Spa,,1,4,88
owner,Estacionamientos Manuel Montt,,1,4,30
owner,Inmobiliaria Puente Ltda.,,1,4,240
owner,RUTA DEL MAIPO SOC. CONCESIONA,,1,3,143
owner,Soc. Concesionaria Autopista,,1,3,143
owner,ELSA DEL CARMEN LEIVA REYES,,1,3,132
owner,Pompeyo Carrasco SPA,,2,3,22
owner,SERVICIOS HERRMANN LIMITADA,,1,3,222
owner,Industria Recuperadora de Neum,,1,3,222
owner,Parque Arauco SA,,1,2,14
owner,Automovil Club de Chile,,1,2,14
owner,Inversiones Quildos Ltda,,1,2,44
owner,Universidad de Los andes,,1,2,44
owner,Pinochet y Pinochet SPA,,1,2,44
owner,Universidad Adolfo Ibañez,,1,2,44
owner,Turismo Lago Grey SA,,1,2,15
owner,inmobiliaria y construtora Alo,,1,2,14
owner,Inmob. Administ. y Com. Mall S,,1,2,13
owner,Patio Foster SPA,,1,2,14
owner,inmobiliaria los militares apo,,1,2,14
owner,Hotel termas de Puyehue,,1,2,15
owner,Parque Solar Fotovoltaico Luz,,1,2,44
owner,MALL PLAZA EL TREBOL S.A,,1,2,15
owner,Automotriz Poerillo sur Ltda,,1,2,15
owner,CTEC,,1,2,44
owner,INMOBILIARIA IRARRAZAVAL DOS S,,1,2,44
owner,INMOBILIARIA INDUMOTORA SPA,,2,2,15
owner,Est. Sub. Valparaíso SA,,1,2,44
owner,COM. ED. WORD TRADE CENCER,,1,2,44
owner,Empresa Eléctrica de Casablanca S.A,,1,2,44
owner,CONSTRUCTORA SIENNA S.A,,1,2,14
owner,Edelaysen,,1,2,44
